"id","OFF_RUSH_EPA_AWAY","OFF_PASS_EPA_AWAY","OFF_FDR_AWAY","DEF_RUSH_EPA_AWAY","DEF_PASS_EPA_AWAY","DEF_FDR_AWAY","OFF_TO_AWAY","DEF_TO_AWAY","OFF_EXP_RATE_AWAY","DEF_EXP_RATE_AWAY","PENS_AWAY","PEN_YDS_AWAY","OL_METRIC_AWAY","DL_METRIC_AWAY","OFF_RUSH_EPA_HOME","OFF_PASS_EPA_HOME","OFF_FDR_HOME","DEF_RUSH_EPA_HOME","DEF_PASS_EPA_HOME","DEF_FDR_HOME","OFF_TO_HOME","DEF_TO_HOME","OFF_EXP_RATE_HOME","DEF_EXP_RATE_HOME","PENS_HOME","PEN_YDS_HOME","OL_METRIC_HOME","DL_METRIC_HOME","DIV","PTS_DIFF"
"3983",0.0836348997649371,0.261383106812946,0.355932203389831,0.0813956817025125,-0.0122153762109316,0.28125,0,1,0.101694915254237,0.0625,8,75,3,6,0.0813956817025125,-0.0122153762109316,0.28125,0.0836348997649371,0.261383106812946,0.355932203389831,1,0,0.0625,0.101694915254237,7,77,6,3,1,-5
"3984",-0.157921454226501,-0.0901667823260909,0.236111111111111,-0.123395688702294,0.167910124804082,0.356164383561644,1,1,0.0972222222222222,0.164383561643836,9,54,6,4,-0.123395688702294,0.167910124804082,0.356164383561644,-0.157921454226501,-0.0901667823260909,0.236111111111111,1,1,0.164383561643836,0.0972222222222222,11,89,4,6,0,25
"3985",-0.363255913739147,-0.0385010392801218,0.245901639344262,-0.0384269404542136,0.142682161582662,0.3125,3,2,0.147540983606557,0.125,7,56,6,2,-0.0384269404542136,0.142682161582662,0.3125,-0.363255913739147,-0.0385010392801218,0.245901639344262,2,3,0.125,0.147540983606557,9,69,2,6,0,19
"3986",-0.0406673298870294,-0.27228682956925,0.229508196721311,0.178996553948805,0.173014031563325,0.322033898305085,4,2,0.114754098360656,0.101694915254237,9,90,3,4,0.178996553948805,0.173014031563325,0.322033898305085,-0.0406673298870294,-0.27228682956925,0.229508196721311,2,4,0.101694915254237,0.114754098360656,8,85,4,3,0,3
"3987",-0.152484272190486,-0.350270672021792,0.204081632653061,-0.0806119578080073,-0.0382205143147032,0.285714285714286,1,0,0.102040816326531,0.125,3,25,8,11,-0.0806119578080073,-0.0382205143147032,0.285714285714286,-0.152484272190486,-0.350270672021792,0.204081632653061,0,1,0.125,0.102040816326531,7,74,11,8,1,16
"3988",0.202820934343484,0.10780358703697,0.379310344827586,0.331274834444048,0.477540548068935,0.371428571428571,2,0,0.103448275862069,0.142857142857143,6,50,4,1,0.331274834444048,0.477540548068935,0.371428571428571,0.202820934343484,0.10780358703697,0.379310344827586,0,2,0.142857142857143,0.103448275862069,9,98,1,4,0,3
"3989",0.0354747645835518,-0.589309618997365,0.211538461538462,-0.583556767208157,0.26435629295854,0.258620689655172,1,3,0.0961538461538462,0.0689655172413793,7,53,9,3,-0.583556767208157,0.26435629295854,0.258620689655172,0.0354747645835518,-0.589309618997365,0.211538461538462,3,1,0.0689655172413793,0.0961538461538462,5,47,3,9,0,4
"3990",0.115385907161302,0.632186663579115,0.352941176470588,-0.154416693505012,0.293920088863524,0.337837837837838,1,1,0.176470588235294,0.108108108108108,7,63,4,5,-0.154416693505012,0.293920088863524,0.337837837837838,0.115385907161302,0.632186663579115,0.352941176470588,1,1,0.108108108108108,0.176470588235294,5,30,5,4,1,-3
"3991",-0.0806943473075271,-0.560846691519586,0.175438596491228,-0.0586699399422726,0.244452020053307,0.306451612903226,1,0,0.087719298245614,0.0967741935483871,9,60,11,5,-0.0586699399422726,0.244452020053307,0.306451612903226,-0.0806943473075271,-0.560846691519586,0.175438596491228,0,1,0.0967741935483871,0.087719298245614,4,24,5,11,1,23
"3992",0.205617111551692,0.336319304432246,0.375,-0.301798911195395,0.17907784298461,0.333333333333333,1,1,0.196428571428571,0.144927536231884,6,42,3,8,-0.301798911195395,0.17907784298461,0.333333333333333,0.205617111551692,0.336319304432246,0.375,1,1,0.144927536231884,0.196428571428571,5,50,8,3,0,-1
